$PSEN,Hum,H,50.93,T,30.88
$PSEN,Noise,dB,038
$PSEN,NOx,V,2.594
$PSEN,COx,V,1.625
$GPRMC,011514.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*77
$PSEN,Hum,H,50.90,T,30.91
$PSEN,Noise,dB,039
$PSEN,NOx,V,2.590
$PSEN,COx,V,1.627
$GPRMC,011515.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*76
$PSEN,Hum,H,50.90,T,30.91
$PSEN,Noise,dB,041
$PSEN,NOx,V,2.591
$PSEN,COx,V,1.626
$GPRMC,011516.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*75
$PSEN,Hum,H,50.87,T,30.91
$PSEN,Batt,V,3.97
$PSEN,Noise,dB,029
$PSEN,NOx,V,2.591
$PSEN,COx,V,1.627
$GPRMC,011517.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*74
$PSEN,Hum,H,50.84,T,30.93
$PSEN,Noise,dB,030
$PSEN,NOx,V,2.593
$PSEN,COx,V,1.627
$GPRMC,011518.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*7B
$PSEN,Hum,H,50.81,T,30.94
$PSEN,Noise,dB,034
$PSEN,NOx,V,2.587
$PSEN,COx,V,1.625
$GPRMC,011519.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*7A
$PSEN,Hum,H,50.81,T,30.94
$PSEN,Noise,dB,031
$PSEN,NOx,V,2.591
$PSEN,COx,V,1.626
$GPRMC,011520.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*70
$PSEN,Hum,H,50.78,T,30.98
$PSEN,Noise,dB,031
$PSEN,NOx,V,2.592
$PSEN,COx,V,1.627
$GPRMC,011521.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*71
$PSEN,Hum,H,50.78,T,30.97
$PSEN,Batt,V,3.98
$PSEN,Noise,dB,038
$PSEN,NOx,V,2.590
$PSEN,COx,V,1.626
$GPRMC,011522.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*72
$PSEN,Hum,H,50.78,T,30.98
$PSEN,Noise,dB,032
$PSEN,NOx,V,2.592
$PSEN,COx,V,1.628
$PSEN,Hum,H,50.68,T,30.98
$GPRMC,011523.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*73
$PSEN,Noise,dB,034
$PSEN,NOx,V,2.589
$PSEN,COx,V,1.628
$PSEN,Hum,H,50.62,T,30.98
$GPRMC,011524.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*74
$PSEN,Noise,dB,034
$PSEN,NOx,V,2.592
$PSEN,COx,V,1.630
$PSEN,Hum,H,50.59,T,31.00
$GPRMC,011525.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*75
$PSEN,Noise,dB,032
$PSEN,NOx,V,2.588
$PSEN,COx,V,1.627
$PSEN,Hum,H,50.62,T,31.00
$GPRMC,011526.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*76
$PSEN,Batt,V,3.97
$PSEN,Noise,dB,031
$PSEN,NOx,V,2.589
$PSEN,COx,V,1.626
$PSEN,Hum,H,50.59,T,31.01
$GPRMC,011527.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*77
$PSEN,Noise,dB,031
$PSEN,NOx,V,2.590
$PSEN,COx,V,1.626
$PSEN,Hum,H,50.56,T,31.01
$GPRMC,011528.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*78
$PSEN,Noise,dB,034
$PSEN,NOx,V,2.589
$PSEN,COx,V,1.628
$PSEN,Hum,H,50.56,T,31.03
$GPRMC,011529.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*79
$PSEN,Noise,dB,034
$PSEN,NOx,V,2.588
$PSEN,COx,V,1.620
$PSEN,Hum,H,50.66,T,31.01
$GPRMC,011530.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*71
$PSEN,Noise,dB,038
$PSEN,NOx,V,2.589
$PSEN,COx,V,1.615
$PSEN,Hum,H,50.72,T,31.04
$GPRMC,011531.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*70
$PSEN,Batt,V,3.98
$PSEN,Noise,dB,033
$PSEN,NOx,V,2.586
$PSEN,COx,V,1.615
$PSEN,Hum,H,50.76,T,31.05
$GPRMC,011532.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*73
$PSEN,Noise,dB,041
$PSEN,NOx,V,2.586
$PSEN,COx,V,1.616
$PSEN,Hum,H,50.76,T,31.05
$GPRMC,011533.127,V,8960.0000,N,00000.0000,E,0.00,0.00,280910,,,N*72
$PSEN,Noise,dB,037
$PSEN,NOx,V,2.586
$PSEN,COx,V,1.615
$PSEN,Hum,H,50.69,T,31.05
